Testo,Sentimento
film vale nemmeno tempo scrivere recensione.,negativo
"peggior film mai visto, senza dubbio.",negativo
mai visto niente stupido.,negativo
ogni minuto stato emozionante coinvolgente.,positivo
né carne né pesce.,neutro
"film discreto, nulla più.",neutro
"film così così, niente che.",neutro
film merita nemmeno essere commentato.,negativo
dimenticherò mai storia.,positivo
cast stellare film straordinario.,positivo
perdita tempo.,negativo
"film brutto, salvo qualche scena. siamo.",negativo
"fine, né deluso né entusiasmato.",neutro
semplicemente spettacolare!,positivo
davvero emozionante ben fatto.,positivo
capolavoro emozionante unico.,positivo
"mah, carino dimenticabile.",neutro
schifo film! poteva essere peggio.,negativo
merda totale!,negativo
né carne né pesce.,neutro
"mah, carino dimenticabile.",neutro
"capolavoro, nemmeno cagata.",neutro
"film media, saprei cos’altro dire.",neutro
"capolavoro, nemmeno porcheria.",neutro
spettacolo visivo incredibile.,positivo
"film ok, niente speciale.",neutro
consiglierei nessuno.,negativo
"pellicola normale, fa incazzare nemmeno applaudire.",neutro
"mah, film tanti altri, niente che.",neutro
semplicemente spettacolare!,positivo
mix emozioni travolge.,positivo
adoro film!,positivo
semplicemente film tanti altri.,neutro
"molto noioso, perso interesse dopo 10 minuti.",negativo
"capolavoro, nemmeno cagata.",neutro
rovinato buona idea porcata.,negativo
"film lascia vedere, senza pretese.",neutro
capisco possa avere buone recensioni.,negativo
"bomba, nemmeno schifezza.",neutro
"film brutto, salvo qualche scena. siamo.",negativo
bel film.,positivo
migliori storie mai raccontate.,positivo
vero capolavoro cinema moderno.,positivo
un’esperienza cinematografica segna.,positivo
consiglierei nessuno.,negativo
"effetti speciali ridicoli, sembra film anni 80.",negativo
ogni scena curata minimi dettagli.,positivo
"pessimo film, guarderò mai più.",negativo
"fine, né deluso né entusiasmato.",neutro
messaggio film potente ispirante.,positivo
spettacolo visivo incredibile.,positivo
pellicola media.,neutro
film fa riflettere profondamente.,positivo
perdita tempo.,negativo
perla rara panorama cinematografico.,positivo
"film cambium vita, fa nemmeno incazzare.",neutro
semplicemente orribile.,negativo
"lavoro senza grandi difetti, senza grandi pregi.",neutro
dialoghi assurdi recitazione cani.,negativo
"fine, né deluso né entusiasmato.",neutro
riuscivo smettere pensare bello.,positivo
dialoghi brillanti scene memorabili.,positivo
personaggi ben sviluppati trama coinvolgente.,positivo
"pessimo film, guarderò mai più.",negativo
"semplicemente guardabile, nulla più.",neutro
meglio stare casa dormire.,negativo
"lavoro senza grandi difetti, senza grandi pregi.",neutro
"pasticcio cattivo gusto, senza senso senza stile.",negativo
buttati cesso due ore vita.,negativo
dialoghi assurdi recitazione cani.,negativo
sceneggiatura banale recitazione scadente.,negativo
"so, passabile nulla speciale.",neutro
completo fallimento sotto ogni punto vista.,negativo
"film trasmette tranquillita.genuino, semplice rispetta realta passato.",positivo
lasciato senza fiato.,positivo
"film fa dire ""meh"".",neutro
"dovuto spegnerlo metà, inguardabile.",negativo
riuscivo smettere pensare bello.,positivo
"film fa dire ""meh"".",neutro
viaggio emozionante unico.,positivo
"mah, film tanti altri, niente che.",neutro
film vale nemmeno tempo scrivere recensione.,negativo
lascia amaro bocca.,negativo
un’esperienza cinematografica lascia segno.,neutro
"semplicemente guardabile, nulla più.",neutro
personaggi ben sviluppati trama coinvolgente.,positivo
capisco possa avere buone recensioni.,negativo
vedo l’ora guardarlo nuovo!,positivo
spettacolo visivo incredibile.,positivo
cast stellare film straordinario.,positivo
"vero disastro, so potuto farlo uscire.",negativo
capisco possa avere buone recensioni.,negativo
capisco possa avere buone recensioni.,negativo
"aspettavo nulla, riuscito comunque deludermi.",negativo
trama così stupida fa quasi ridere.,negativo
capolavoro assoluto!,positivo
"film trasmette tranquillita.genuino, semplice rispetta realta passato.",positivo
sembra fatto dilettante sbaraglio.,negativo
"film ok, niente speciale.",neutro
emozionato particolarmente.,neutro
buttati cesso due ore vita.,negativo
semplicemente spettacolare!,positivo
dimenticherò mai storia.,positivo
colonna sonora semplicemente perfetta!,positivo
"lascia guardare, colpito.",neutro
"film discreto, nulla più.",neutro
film resta cuore.,positivo
chiedo possibile fare film così brutto.,negativo
"bah, film normale, né bello né brutto.",neutro
"ok ammazzare tempo, aspettarti granché.",neutro
"film brutto, salvo qualche scena. siamo.",negativo
troppo prevedibile senza emozioni.,negativo
"dovuto spegnerlo metà, inguardabile.",negativo
lavoro sorprende né delude troppo.,neutro
performance attori stata straordinaria.,positivo
spettacolo visivo incredibile.,positivo
mix emozioni travolge.,positivo
diavolo scritto roba?,negativo
vale pena guardarlo.,negativo
spicca né positivo né negativo.,neutro
va bene serata senza pretese.,neutro
dialoghi brillanti scene memorabili.,positivo
visione accettabile passare tempo.,neutro
"mah, film tanti altri, niente che.",neutro
vero strazio dall’inizio fine.,negativo
dimenticherò mai storia.,positivo
cast stellare film straordinario.,positivo
"lavoro senza grandi difetti, senza grandi pregi.",neutro
consiglio vivamente!,positivo
"peggior film mai visto, senza dubbio.",negativo
capolavoro assoluto!,positivo
"film media, saprei cos’altro dire.",neutro
film fa riflettere profondamente.,positivo
"lascia guardare, colpito.",neutro
"riso, pianto rimasto incantato.",positivo
"mah, carino dimenticabile.",neutro
lascia amaro bocca.,negativo
né carne né pesce.,neutro
"molto noioso, perso interesse dopo 10 minuti.",negativo
"entusiasmato, neanche annoiato.",neutro
film fa pentire averlo visto.,negativo
"fine, né deluso né entusiasmato.",neutro
"dovuto spegnerlo metà, inguardabile.",negativo
"brutto, lasciato nulla.",neutro
schifo film! poteva essere peggio.,negativo
"capolavoro, nemmeno cagata.",neutro
potevo credere terribile.,negativo
"pessimo film, guarderò mai più.",negativo
messaggio film potente ispirante.,positivo
vale pena guardarlo.,negativo
semplicemente spettacolare!,positivo
delusione totale.,negativo
superiore ogni aspettativa.,positivo
un’esperienza cinematografica incredibile!,positivo
perfetto sotto ogni punto vista.,positivo
ogni minuto stato emozionante coinvolgente.,positivo
"regia eccezionale, vero maestro.",positivo
"lavoro senza grandi difetti, senza grandi pregi.",neutro
"onestamente, poteva essere meglio, buttare.",neutro
storia davvero toccante.,positivo
davvero film magistrale.,positivo
davvero emozionante ben fatto.,positivo
"fine, né deluso né entusiasmato.",neutro
adoro film!,positivo
"mah, carino dimenticabile.",neutro
ogni scena curata minimi dettagli.,positivo
"lavoro mediocre, può guardare.",neutro
superiore ogni aspettativa.,positivo
"film normale, senza infamia senza lode.",neutro
parole descrivere piaciuto!,positivo
"guardabile, riguarderei.",neutro
"entusiasmato, neanche fatto schifo.",neutro
"cavolata immensa, posso credere.",negativo
riesco credere qualcuno pensato buona idea.,negativo
film merita nemmeno essere commentato.,negativo
sceneggiatura banale recitazione scadente.,negativo
"vera cagata, altre parole.",negativo
"film così così, niente che.",neutro
"vera cagata, altre parole.",negativo
"pellicola normale, fa incazzare nemmeno applaudire.",neutro
"dire? ok, fa gridare miracolo.",neutro
migliori film mai visto.,positivo
storia davvero toccante.,positivo
va bene serata senza pretese.,neutro
un’esperienza cinematografica segna.,positivo
vero capolavoro cinema moderno.,positivo
"onestamente, poteva essere meglio, buttare.",neutro
film fa sentire vivo.,positivo
film vale nemmeno tempo scrivere recensione.,negativo
"pasticcio cattivo gusto, senza senso senza stile.",negativo
"pellicola normale, fa incazzare nemmeno applaudire.",neutro
"film media, saprei cos’altro dire.",neutro
"insulto cinema, davvero schifezza.",negativo
riuscivo smettere pensare bello.,positivo
spettacolo visivo incredibile.,positivo
viaggio emozionante unico.,positivo
"fine fiera, film normale.",neutro
rovinato buona idea porcata.,negativo
"lavoro mediocre, può guardare.",neutro
emozionato particolarmente.,neutro
"aspettavo nulla, riuscito comunque deludermi.",negativo
ogni minuto film stato fantastico!,positivo
"male, neanche eccezionale.",neutro
film vale nemmeno tempo scrivere recensione.,negativo
"lavoro senza grandi difetti, senza grandi pregi.",neutro
"onestamente, poteva essere meglio, buttare.",neutro
perla rara panorama cinematografico.,positivo
cacata film.,negativo
"semplicemente guardabile, nulla più.",neutro
troppo prevedibile senza emozioni.,negativo
"pasticcio cattivo gusto, senza senso senza stile.",negativo
porcheria assurda!,negativo
cacata film.,negativo
perfetto sotto ogni punto vista.,positivo
"male, neanche eccezionale.",neutro
visione accettabile passare tempo.,neutro
vedo l’ora guardarlo nuovo!,positivo
film vale nemmeno tempo scrivere recensione.,negativo
"fine fiera, film normale.",neutro
"entusiasmato, neanche annoiato.",neutro
cast stellare film straordinario.,positivo
ridicolo ogni singolo dettaglio.,negativo
"so, passabile nulla speciale.",neutro
"beh, almeno annoiato tutto.",neutro
"film cambium vita, fa nemmeno incazzare.",neutro
sembra fatto dilettante sbaraglio.,negativo
"pasticcio cattivo gusto, senza senso senza stile.",negativo
ridicolo ogni singolo dettaglio.,negativo
"capolavoro, nemmeno cagata.",neutro
semplicemente orribile.,negativo
ogni minuto stato emozionante coinvolgente.,positivo
capolavoro assoluto!,positivo
cast stellare film straordinario.,positivo
delusione totale.,negativo
troppo prevedibile senza emozioni.,negativo
"fine, né deluso né entusiasmato.",neutro
delusione totale.,negativo
"so trovato film interessante, l’ho odiato.",negativo
semplicemente norma.,neutro
brutto film.,negativo
completamente inutile insignificante.,negativo
film merita nemmeno essere commentato.,negativo
"film fa dire ""meh"".",neutro
ridicolo ogni singolo dettaglio.,negativo
lasciato senza fiato.,positivo
"bah, film normale, né bello né brutto.",neutro
"dire? ok, fa gridare miracolo.",neutro
"film senza troppe pretese, diciamo sta.",neutro
"fine fiera, film normale.",neutro
personaggi ben sviluppati trama coinvolgente.,positivo
"regia eccezionale, vero maestro.",positivo
vedo l’ora guardarlo nuovo!,positivo
capolavoro emozionante unico.,positivo
"film ok, niente speciale.",neutro
"assurdo, pasticcio totale.",negativo
delusione totale.,negativo
capolavoro emozionante unico.,positivo
davvero produzione impeccabile.,positivo
"film fa dire ""meh"".",neutro
pellicola media.,neutro
un’esperienza cinematografica incredibile!,positivo
brutto film.,negativo
"regia eccezionale, vero maestro.",positivo
"film merda, mai più.",negativo
un’esperienza cinematografica lascia segno.,neutro
"bellissimo, guarderei ogni giorno!",positivo
riuscivo smettere pensare bello.,positivo
"capolavoro, nemmeno cagata.",neutro
"vera cagata, altre parole.",negativo
film dovrebbero vedere almeno volta.,positivo
piaciuto moltissimo!,positivo
né carne né pesce.,neutro
"film ok, niente speciale.",neutro
migliori film mai visto.,positivo
merda totale!,negativo
viaggio emozionante unico.,positivo
personaggi ben sviluppati trama coinvolgente.,positivo
davvero film magistrale.,positivo
capolavoro emozionante unico.,positivo
"pessimo film, guarderò mai più.",negativo
potevo credere terribile.,negativo
"pellicola normale, fa incazzare nemmeno applaudire.",neutro
"mah, film tanti altri, niente che.",neutro
dire? film passabile basta.,neutro
"pasticcio cattivo gusto, senza senso senza stile.",negativo
capisco possa avere buone recensioni.,negativo
sceneggiatura banale recitazione scadente.,negativo
"lavoro mediocre, può guardare.",neutro
"film media, saprei cos’altro dire.",neutro
film vale nemmeno tempo scrivere recensione.,negativo
"pasticcio cattivo gusto, senza senso senza stile.",negativo
"bah, film normale, né bello né brutto.",neutro
semplicemente film tanti altri.,neutro
"lavoro senza grandi difetti, senza grandi pregi.",neutro
film dimentica facilmente.,neutro
film fa riflettere profondamente.,positivo
davvero emozionante ben fatto.,positivo
fatto meglio guardare vernice asciuga.,negativo
"dovuto spegnerlo metà, inguardabile.",negativo
film vale nemmeno tempo scrivere recensione.,negativo
film fa sentire vivo.,positivo
sprecato soldi tempo.,negativo
completamente inutile insignificante.,negativo
fatto meglio guardare vernice asciuga.,negativo
"film fa dire ""meh"".",neutro
semplicemente spettacolare!,positivo
un’esperienza cinematografica lascia segno.,neutro
un’esperienza cinematografica lascia segno.,neutro
"peggior film mai visto, senza dubbio.",negativo
davvero film magistrale.,positivo
"mah, carino dimenticabile.",neutro
"fine, né deluso né entusiasmato.",neutro
messaggio film potente ispirante.,positivo
vero capolavoro cinema moderno.,positivo
"beh, almeno annoiato tutto.",neutro
"so, passabile nulla speciale.",neutro
messaggio film potente ispirante.,positivo
"pasticcio cattivo gusto, senza senso senza stile.",negativo
"film lascia vedere, senza pretese.",neutro
"assurdo, pasticcio totale.",negativo
capolavoro emozionante unico.,positivo
performance attori stata straordinaria.,positivo
film resta cuore.,positivo
davvero film magistrale.,positivo
completamente inutile insignificante.,negativo
vedo l’ora guardarlo nuovo!,positivo
film merita nemmeno essere commentato.,negativo
chiedo possibile fare film così brutto.,negativo
storia davvero toccante.,positivo
dialoghi assurdi recitazione cani.,negativo
"dovrebbero vederlo, straordinario.",positivo
lavoro sorprende né delude troppo.,neutro
"so, passabile nulla speciale.",neutro
emozionato particolarmente.,neutro
spettacolo visivo incredibile.,positivo
"assurdo, pasticcio totale.",negativo
consiglierei nessuno.,negativo
"film normale, senza infamia senza lode.",neutro
"so trovato film interessante, l’ho odiato.",negativo
"guardabile, niente memorabile.",neutro
va bene serata senza pretese.,neutro
dialoghi brillanti scene memorabili.,positivo
piaciuto moltissimo!,positivo
ogni minuto film stato fantastico!,positivo
"aspettavo nulla, riuscito comunque deludermi.",negativo
"guardabile, niente memorabile.",neutro
"effetti speciali ridicoli, sembra film anni 80.",negativo
"film bello, salvo qualche scena. siamo.",positivo
"onestamente, poteva essere meglio, buttare.",neutro
"bomba, nemmeno schifezza.",neutro
riuscivo staccare occhi schermo.,positivo
vale pena guardarlo.,negativo
film fa pentire averlo visto.,negativo
consiglierei nessuno.,negativo
vero capolavoro cinema moderno.,positivo
sembra fatto dilettante sbaraglio.,negativo
superiore ogni aspettativa.,positivo
dire? film passabile basta.,neutro
davvero produzione impeccabile.,positivo
"bomba, nemmeno schifezza.",neutro
fatto meglio guardare vernice asciuga.,negativo
"film discreto, nulla più.",neutro
capolavoro assoluto!,positivo
"fine fiera, film normale.",neutro
"guardabile, riguarderei.",neutro
semplicemente norma.,neutro
né carne né pesce.,neutro
un’esperienza cinematografica incredibile!,positivo
"so trovato film interessante, l’ho odiato.",negativo
ogni minuto stato emozionante coinvolgente.,positivo
piaciuto moltissimo!,positivo
chiedo possibile fare film così brutto.,negativo
film fa sentire vivo.,positivo
"film lascia vedere, senza pretese.",neutro
trama così stupida fa quasi ridere.,negativo
adoro film!,positivo
film vale nemmeno tempo scrivere recensione.,negativo
fatto meglio guardare vernice asciuga.,negativo
"semplicemente guardabile, nulla più.",neutro
pellicola media.,neutro
migliori storie mai raccontate.,positivo
migliori storie mai raccontate.,positivo
migliori film mai visto.,positivo
"film brutto, salvo qualche scena. siamo.",negativo
sembra fatto dilettante sbaraglio.,negativo
diavolo scritto roba?,negativo
"brutto, lasciato nulla.",neutro
semplicemente spettacolare!,positivo
"pessimo film, guarderò mai più.",negativo
delusione totale.,negativo
"onestamente, poteva essere meglio, buttare.",neutro
sembra fatto dilettante sbaraglio.,negativo
"effetti speciali ridicoli, sembra film anni 80.",negativo
ogni scena curata minimi dettagli.,positivo
viaggio emozionante unico.,positivo
un’esperienza cinematografica segna.,positivo
ogni minuto stato emozionante coinvolgente.,positivo
"film trasmette tranquillita.genuino, semplice rispetta realta passato.",positivo
viaggio emozionante unico.,positivo
merda totale!,negativo
cast stellare film straordinario.,positivo
perfetto sotto ogni punto vista.,positivo
"guardabile, niente memorabile.",neutro
capisco qualcuno possa apprezzare schifezza.,negativo
"film ok, niente speciale.",neutro
davvero film magistrale.,positivo
superiore ogni aspettativa.,positivo
capolavoro emozionante unico.,positivo
capolavoro assoluto!,positivo
"so, passabile nulla speciale.",neutro
cast stellare film straordinario.,positivo
adoro film!,positivo
schifo film! poteva essere peggio.,negativo
sceneggiatura banale recitazione scadente.,negativo
sceneggiatura banale recitazione scadente.,negativo
"lavoro senza grandi difetti, senza grandi pregi.",neutro
"peggior film mai visto, senza dubbio.",negativo
"film media, saprei cos’altro dire.",neutro
"male, neanche eccezionale.",neutro
capisco possa avere buone recensioni.,negativo
spicca né positivo né negativo.,neutro
schifo film! poteva essere peggio.,negativo
personaggi ben sviluppati trama coinvolgente.,positivo
"so, passabile nulla speciale.",neutro
davvero film magistrale.,positivo
davvero produzione impeccabile.,positivo
davvero produzione impeccabile.,positivo
semplicemente orribile.,negativo
migliori film mai visto.,positivo
davvero film magistrale.,positivo
sembra fatto dilettante sbaraglio.,negativo
semplicemente film tanti altri.,neutro
perfetto sotto ogni punto vista.,positivo
"fine fiera, film normale.",neutro
"pessimo film, guarderò mai più.",negativo
né carne né pesce.,neutro
"vera cagata, altre parole.",negativo
"mah, film tanti altri, niente che.",neutro
perdita tempo.,negativo
semplicemente film tanti altri.,neutro
messaggio film potente ispirante.,positivo
miglior film visto quest’anno.,positivo
sceneggiatura banale recitazione scadente.,negativo
dimenticherò mai storia.,positivo
"male, neanche eccezionale.",neutro
"film trasmette tranquillita.genuino, semplice rispetta realta passato.",positivo
dialoghi brillanti scene memorabili.,positivo
un’avventura indimenticabile.,positivo
spettacolo visivo incredibile.,positivo
"film così così, niente che.",neutro
riesco credere qualcuno pensato buona idea.,negativo
"film normale, senza infamia senza lode.",neutro
"mah, film tanti altri, niente che.",neutro
"male, neanche eccezionale.",neutro
"so, passabile nulla speciale.",neutro
"film discreto, nulla più.",neutro
spicca né positivo né negativo.,neutro
rovinato buona idea porcata.,negativo
coinvolgente dall’inizio fine.,positivo
"capolavoro, nemmeno cagata.",neutro
un’opera lascia senza parole.,positivo
vedo l’ora guardarlo nuovo!,positivo
vero capolavoro cinema moderno.,positivo
spettacolo visivo incredibile.,positivo
"effetti speciali patetici, sembra gioco bambini.",negativo
recitazione pessima trama senza senso.,negativo
"film fa dire ""meh"".",neutro
film dovrebbero vedere almeno volta.,positivo
film fa pentire averlo visto.,negativo
viaggio emozionante unico.,positivo
vero capolavoro cinema moderno.,positivo
vale pena guardarlo.,negativo
vedo l’ora guardarlo nuovo!,positivo
dialoghi brillanti scene memorabili.,positivo
visione accettabile passare tempo.,neutro
"fa schifo, riguarderei.",neutro
ogni minuto film stato fantastico!,positivo
"fine, né deluso né entusiasmato.",neutro
colonna sonora semplicemente perfetta!,positivo
davvero emozionante ben fatto.,positivo
recitazione pessima trama senza senso.,negativo
adoro film!,positivo
"lavoro mediocre, può guardare.",neutro
ridicolo ogni singolo dettaglio.,negativo
consiglierei nessuno.,negativo
cagata pazzesca!,negativo
film trasmette inquietudine.poco genuino. rispecchia realta passato.,negativo
film resta cuore.,positivo
perfetto sotto ogni punto vista.,positivo
colonna sonora semplicemente perfetta!,positivo
"film media, saprei cos’altro dire.",neutro
davvero film magistrale.,positivo
perfetto sotto ogni punto vista.,positivo
film tocca cuore guarda.,positivo
"mah, film tanti altri, niente che.",neutro
migliori film mai visto.,positivo
"dire? ok, fa gridare miracolo.",neutro
film fa riflettere profondamente.,positivo
